0,0.90909,0,0,0.090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027027,0.054054,0,0,0.16216,0.054054,0.13514,0.13514,0.13514,0,0,0.054054,0,0,0,0,0.10811,0,0.13514,0.035886,0.014322,0.031873,0.023597,0.042104,0.056819,0.0024956,0.041655,0.028342,0.046218,0.06268,0.078108,0.077094,0.04365,0.079439,0.077897,0.080835,0.037865,0.059079,0.080041
0.90909,0,0,0,0.090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10811,0,0,0.054054,0.13514,0,0.13514,0,0.054054,0,0.13514,0,0.13514,0,0.13514,0,0.10811,0,0.013273,0.056036,0.083197,0.028905,0.040985,0.061274,0.046912,0.034631,0.026297,0.057951,0.058266,0.067871,0.038241,0.073353,0.059293,0.043995,0.035996,0.016347,0.086551,0.070627
0,0,0,0,0,0.41667,0,0,0,0,0,0,0,0,0,0.16667,0,0,0.41667,0,0,0,0,0,0,0,0,0,0,0,0,0.22727,0,0,0,0.090909,0.22727,0.22727,0.22727,0,0.062499,0.087359,0.062334,0.064169,0.066456,0.060566,0.039459,0.087869,0.044626,0.021874,0.047969,0.034687,0.070035,0.023249,0.010963,0.022348,0.023893,0.083361,0.074264,0.012021
0,0,0,0.29412,0,0.11765,0,0.29412,0.29412,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0.2,0,0,0,0,0,0,0,0.2,0.2,0,0,0.012605,0.06734,0.029932,0.060975,0.061545,0.078227,0.021387,0.083422,0.086753,0.012639,0.01069,0.036409,0.0057717,0.030721,0.083298,0.072885,0.033469,0.056048,0.087307,0.068575
0,0.26667,0,0,0,0,0.33333,0,0,0,0,0,0,0,0.26667,0,0,0.13333,0,0,0,0.14286,0.17857,0,0,0,0.17857,0,0,0,0,0,0,0,0.14286,0.17857,0,0.17857,0,0,0.040726,0.088255,0.025646,0.05109,0.025644,0.098076,0.067424,0.076848,0.018009,0.052757,0.083606,0.020155,0.030609,0.046008,0.080566,0.095422,0.059823,0.037884,8.443e-05,0.0013688
0.083333,0,0.083333,0,0,0.083333,0,0,0.20833,0,0.20833,0.16667,0,0,0.083333,0,0.083333,0,0,0,0.083333,0,0.083333,0,0,0.083333,0,0,0.20833,0,0.20833,0.16667,0,0,0.083333,0,0.083333,0,0,0,0.015918,0.020307,0.052368,0.0023594,0.019484,0.032428,0.10655,0.030373,0.0069525,0.026634,0.033627,0.10707,0.055302,0.083349,0.074509,0.036099,0.037145,0.11527,0.047386,0.096872
0,0,0,0,0,0.22727,0.22727,0,0,0.22727,0,0.22727,0,0,0,0,0.090909,0,0,0,0,0,0.18519,0,0.074074,0,0,0,0,0.18519,0,0.18519,0,0.18519,0,0,0.18519,0,0,0,0.082148,0.019082,0.024214,0.085357,0.0742,0.063234,0.076638,0.048246,0.080162,0.073759,0.048408,0.012712,0.080456,0.024401,0.0066078,0.072815,0.058762,0.003233,0.05959,0.0059745
0,0,0.16,0,0,0.2,0.2,0,0.2,0,0.08,0,0,0,0,0,0,0,0.16,0,0,0.18519,0.14815,0,0,0,0,0,0.074074,0,0.074074,0,0.18519,0,0,0,0,0.18519,0.14815,0,0.0062519,0.093263,0.026645,0.05433,0.052507,0.080967,0.034709,0.091699,0.0036741,0.00678,0.069098,0.0089244,0.094992,0.043542,0.0049439,0.038033,0.055704,0.038728,0.094325,0.10088
0,0,0.064516,0,0,0,0.16129,0.16129,0.16129,0.16129,0,0,0,0.16129,0,0,0,0,0.12903,0,0.125,0.125,0.05,0,0.05,0,0.125,0.05,0.125,0.125,0,0,0,0.125,0,0,0,0,0.1,0,0.024042,0.067346,0.031707,0.046905,0.014738,0.085326,0.022395,0.080541,0.051463,0.047096,0.066388,0.063398,0.0924,0.048445,0.025706,0.020173,0.073274,0.033653,0.043248,0.061754
0,0,0,0,0,0.21739,0.21739,0.086957,0.21739,0,0,0,0.17391,0,0,0,0,0.086957,0,0,0,0.17241,0,0,0,0.17241,0,0,0.17241,0,0,0,0.13793,0,0,0.17241,0,0.17241,0,0,0.084268,0.037364,0.017084,0.018999,0.0064653,0.043867,0.10494,0.093064,0.10645,0.0082142,0.078262,0.046573,0.027842,0.028007,0.081471,0.017076,0.070827,0.010113,0.013743,0.10537
0.1,0,0,0,0.13333,0,0.16667,0.16667,0.13333,0,0.16667,0.066667,0,0,0.066667,0,0,0,0,0,0.10714,0,0,0,0.14286,0,0.071429,0.071429,0,0,0.17857,0.17857,0,0,0.071429,0,0.17857,0,0,0,0.03851,0.037524,0.04674,0.077022,0.092556,0.010068,0.081227,0.029374,0.091696,0.049078,0.0081185,0.022224,0.053099,0.095648,0.066968,0.086523,0.05962,0.03107,0.0030235,0.019911
0,0,0.086957,0,0,0.086957,0.21739,0,0,0,0.21739,0,0,0.21739,0,0,0,0.17391,0,0,0,0,0.076923,0,0.076923,0.076923,0,0,0,0,0.19231,0,0,0.19231,0,0,0.19231,0.19231,0,0,0.078419,0.0037924,0.059668,0.041414,0.025349,0.0058802,0.0093361,0.086069,0.087675,0.0705,0.06247,0.06236,0.0089362,0.10539,0.098496,0.012985,0.046894,0.02117,0.085108,0.028093
0.037037,0,0.074074,0,0,0,0.18519,0.18519,0.18519,0.18519,0,0,0,0.14815,0,0,0,0,0,0,0.047619,0,0.095238,0,0.095238,0,0.095238,0,0.2381,0.2381,0,0,0,0.19048,0,0,0,0,0,0,0.11397,0.079427,0.027607,0.019898,0.063016,0.08305,0.048985,0.05941,0.018731,0.078353,0.056225,0.018854,0.029213,0.0084275,0.021648,0.023601,0.10056,0.029151,0.012,0.10787
0,0,0.11765,0,0,0.29412,0,0,0.11765,0,0,0.11765,0,0,0,0,0,0.11765,0.23529,0,0,0.16667,0.16667,0,0,0,0,0,0.066667,0,0,0.066667,0.16667,0,0.16667,0,0,0.066667,0.13333,0,0.05927,0.0098408,0.033405,0.10225,0.040919,0.045323,0.02963,0.046218,0.093052,0.0084461,0.007506,0.031035,0.02348,0.046808,0.10161,0.085002,0.088535,0.061912,0.028865,0.056888
0.10811,0,0,0,0,0.13514,0.13514,0,0,0.13514,0,0.13514,0,0,0.10811,0.13514,0.10811,0,0,0,0.12903,0,0,0,0,0.064516,0.064516,0,0,0.16129,0,0,0,0,0.12903,0.16129,0.12903,0.16129,0,0,0.05929,0.0054834,0.046236,0.057302,0.014616,0.062546,0.038328,0.034661,0.038913,0.049091,0.07845,0.050447,0.073641,0.061316,0.067431,0.010578,0.069491,0.027038,0.073761,0.08138
0,0,0,0.12821,0,0.12821,0.12821,0.12821,0.12821,0,0.12821,0.12821,0,0,0,0,0,0.10256,0,0,0,0.15152,0,0.15152,0.060606,0.060606,0,0,0,0,0,0.15152,0.15152,0,0,0.15152,0,0.12121,0,0,0.022093,0.10949,0.040239,0.039715,0.077678,0.086672,0.04326,0.041586,0.029815,0.097499,0.017568,0.021128,0.089056,0.065741,0.021212,0.019806,0.013255,0.096839,0.037757,0.029589
0,0,0,0,0,0.17391,0,0.21739,0.21739,0,0.21739,0,0.086957,0,0,0.086957,0,0,0,0,0,0,0,0,0,0.076923,0,0.076923,0,0,0.19231,0,0.19231,0.19231,0.19231,0.076923,0,0,0,0,0.0097454,0.056492,0.070038,0.019933,0.079454,0.086312,0.056496,0.081444,0.049654,0.085236,0.012818,0.0087671,0.056841,0.084043,0.025796,0.060204,0.025811,0.062835,0.00070738,0.067373
0,0,0.11905,0.095238,0,0.11905,0.11905,0,0,0.11905,0.11905,0,0,0,0,0,0.095238,0.095238,0.11905,0,0.125,0.125,0.125,0.1,0,0.05,0,0,0,0.125,0,0,0,0,0,0,0.1,0.125,0.125,0,0.063358,0.059303,0.038955,0.037814,0.037029,0.059677,0.042613,0.037383,0.028257,0.077157,0.080417,0.061508,0.041984,0.019003,0.069928,0.038657,0.042909,0.045213,0.060896,0.057939
0,0,0,0.11765,0.058824,0.14706,0.14706,0.11765,0,0.14706,0.14706,0,0,0,0.11765,0,0,0,0,0,0,0,0,0.10811,0.054054,0.13514,0.054054,0.10811,0,0,0.13514,0,0,0,0.13514,0,0.13514,0.13514,0,0,0.094958,0.034805,0.071461,0.080404,0.0089458,0.025186,0.0059342,0.04725,0.074738,0.049961,0.071174,0.032767,0.080899,0.078269,0.015737,0.095264,0.017108,0.037911,0.034929,0.042301
0,0,0,0,0,0,0,0,0,0.35714,0.35714,0,0.28571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55556,0,0,0.44444,0,0,0,0,0,0,0,0.039493,0.074618,0.064701,0.065962,0.050818,0.10269,0.00052064,0.040294,0.023335,0.027831,0.0040023,0.063511,0.064517,0.10954,0.047332,0.015281,0.036302,0.018507,0.11704,0.033707
